301	1	2	2	3	4
301	2	2	3	3	2
301	3	3	3	2	2
301	4	4	3	3	3
301	5	2	2	2	2
301	6	2	2	1	2
301	7	2	2	1	2
301	8	2	2	2	2
301	9	2	3	2	2
301	10	3	3	3	3
309	1	3	3	-999	1
309	2	3	3	3	3
309	3	3	3	3	1
309	4	3	1	3	1
309	5	1	1	1	1
309	6	3	1	1	1
309	7	1	1	3	1
309	8	1	1	1	1
309	9	1	1	1	1
309	10	1	1	1	1
319	1	3	2	2	2
319	2	-999	-999	-999	-999
319	3	3	2	2	2
319	4	3	3	3	2
319	5	-999	-999	-999	-999
319	6	2	1	2	2
319	7	2	1	1	1
319	8	2	2	2	2
319	9	-999	-999	-999	-999
319	10	3	3	3	3
337	1	4	5	4	2
337	2	3	4	3	3
337	3	3	4	3	2
337	4	3	3	2	2
337	5	-999	-999	-999	-999
337	6	3	2	2	3
337	7	3	3	2	1
337	8	3	3	2	2
337	9	3	3	4	2
337	10	4	4	4	3
351	1	3	1	1	1
351	2	3	1	1	1
351	3	2	1	1	1
351	4	2	2	1	1
351	5	2	1	1	1
351	6	3	2	1	1
351	7	3	1	1	1
351	8	3	2	1	1
351	9	2	1	1	1
351	10	3	1	1	1
357	1	3	4	3	3
357	2	3	2	3	2
357	3	4	-999	-999	2
357	4	2	2	2	2
357	5	2	2	2	2
357	6	2	2	2	2
357	7	2	2	2	2
357	8	2	3	2	2
357	9	2	2	2	1
357	10	2	2	2	2
363	1	3	5	4	3
363	2	3	5	3	1
363	3	3	5	3	1
363	4	5	5	5	1
363	5	3	4	4	1
363	6	3	5	4	2
363	7	3	4	2	2
363	8	2	5	1	-999
363	9	1	5	3	2
363	10	3	5	5	2
375	1	3	2	2	1
375	2	3	4	4	3
375	3	2	2	2	2
375	4	4	4	4	4
375	5	2	4	3	3
375	6	3	3	3	3
375	7	3	3	3	3
375	8	3	3	3	3
375	9	4	4	4	4
375	10	4	4	4	4
383	1	4	4	4	3
383	2	3	3	3	2
383	3	3	2	2	2
383	4	3	2	2	2
383	5	2	2	2	2
383	6	2	2	1	1
383	7	3	3	3	2
383	8	2	2	1	2
383	9	2	2	2	3
383	10	2	1	1	1
387	1	1	4	2	4
387	2	2	2	2	2
387	3	3	2	2	3
387	4	2	2	2	3
387	5	2	2	2	4
387	6	2	3	1	4
387	7	-999	2	1	3
387	8	-999	-999	-999	-999
387	9	-999	2	1	3
387	10	-999	-999	-999	-999
391	1	4	3	-999	3
391	2	4	5	4	3
391	3	4	4	5	4
391	4	4	4	3	2
391	5	3	4	4	3
391	6	4	4	4	4
391	7	4	5	4	3
391	8	4	5	5	4
391	9	4	4	4	3
391	10	4	5	4	5
393	1	3	3	3	3
393	2	-999	-999	-999	-999
393	3	4	3	3	4
393	4	-999	-999	-999	-999
393	5	3	3	3	3
393	6	4	4	4	4
393	7	3	3	3	3
393	8	5	5	5	4
393	9	-999	4	4	3
393	10	5	5	5	5
399	1	2	3	1	1
399	2	2	3	3	3
399	3	2	3	1	2
399	4	2	2	1	1
399	5	2	3	2	1
399	6	-999	2	1	2
399	7	3	4	2	3
399	8	2	3	2	2
399	9	2	3	3	2
399	10	3	3	2	1
401	1	4	4	4	4
401	2	2	4	4	4
401	3	4	4	4	4
401	4	3	3	3	3
401	5	3	3	3	3
401	6	2	3	2	2
401	7	2	2	2	2
401	8	3	3	3	3
401	9	3	3	3	3
401	10	3	3	3	3
405	1	3	3	4	3
405	2	2	3	2	2
405	3	2	3	2	2
405	4	3	1	2	2
405	5	3	3	3	2
405	6	2	2	2	2
