id,userID,gameSessionID,correct,isGo,number,responseTime,time
112616,649772868,19,True,True,5,504,2022-03-04 06:57:52+00:00
112615,649772868,19,True,True,4,911,2022-03-04 06:57:49+00:00
112614,649772868,19,True,True,5,571,2022-03-04 06:57:46+00:00
112613,649772868,19,True,True,1,514,2022-03-04 06:57:43+00:00
112612,649772868,19,True,True,2,520,2022-03-04 06:57:40+00:00
112611,649772868,19,True,True,8,780,2022-03-04 06:57:37+00:00
112610,649772868,19,True,True,5,486,2022-03-04 06:57:18+00:00
112609,649772868,19,True,True,9,540,2022-03-04 06:57:14+00:00
112608,649772868,19,True,True,8,575,2022-03-04 06:57:11+00:00
112607,649772868,19,True,True,5,458,2022-03-04 06:57:09+00:00
112606,649772868,19,True,True,7,459,2022-03-04 06:57:06+00:00
112605,649772868,19,True,True,6,517,2022-03-04 06:57:03+00:00
112604,649772868,19,True,True,2,488,2022-03-04 06:57:00+00:00
112603,649772868,19,True,False,3,0,2022-03-04 06:56:57+00:00
112602,649772868,19,True,True,8,522,2022-03-04 06:56:54+00:00
112601,649772868,19,True,True,7,561,2022-03-04 06:56:51+00:00
112600,649772868,19,True,True,9,1094,2022-03-04 06:56:48+00:00
112599,649772868,18,False,True,1,0,2022-03-04 06:56:39+00:00
112598,628825449,8,True,True,2,620,2021-12-22 21:36:15+00:00
112597,628825449,8,True,True,4,653,2021-12-22 21:36:12+00:00
